,no_of_items,variation,total,paid,change
517,4,2,682.0,1000.0,318.0
518,1,1,100.0,100.0,0.0
519,3,2,375.0,500.0,125.0
520,1,1,55.0,55.0,0.0
521,2,1,157.0,200.0,43.0
522,3,1,185.0,200.0,15.0
523,1,1,40.0,40.0,0.0
524,4,1,468.0,468.0,0.0
525,1,1,120.0,1000.0,880.0
526,2,2,217.0,500.0,283.0
527,1,1,94.0,100.0,6.0
528,1,1,90.0,200.0,110.0
529,11,3,2079.0,2079.0,0.0
530,1,1,1200.0,1200.0,0.0
531,3,2,321.0,1000.0,679.0
532,2,1,263.0,500.0,237.0
533,3,1,259.0,260.0,1.0
534,2,1,235.0,1000.0,765.0
535,7,2,1128.0,1128.0,0.0
536,2,1,330.0,450.0,120.0
537,3,2,142.0,142.0,0.0
538,2,2,115.0,200.0,85.0
539,5,2,327.0,1000.0,673.0
540,2,2,155.0,155.0,0.0
542,1,1,292.0,1000.0,708.0
543,4,3,476.0,1000.0,524.0
544,7,2,660.0,1000.0,340.0
545,4,3,370.0,500.0,130.0
546,13,4,1172.0,2000.0,828.0
547,4,2,303.0,1000.0,697.0
548,3,2,186.0,200.0,14.0
549,1,1,25.0,100.0,75.0
550,2,2,75.0,500.0,425.0
551,10,4,694.0,1000.0,306.0
552,2,2,90.0,100.0,10.0
553,1,1,195.0,200.0,5.0
554,1,1,40.0,100.0,60.0
555,1,1,90.0,100.0,10.0
556,2,2,138.0,500.0,362.0
557,1,1,300.0,500.0,200.0
558,2,2,95.0,1000.0,905.0
559,1,1,80.0,500.0,420.0
560,6,4,295.0,500.0,205.0
561,1,1,180.0,200.0,20.0
562,1,1,80.0,100.0,20.0
563,2,1,96.0,100.0,4.0
564,6,2,700.0,1000.0,300.0
565,2,2,165.0,200.0,35.0
566,3,2,145.0,150.0,5.0
567,2,1,140.0,200.0,60.0
568,3,1,330.0,500.0,170.0
569,1,1,125.0,200.0,75.0
570,12,3,1360.0,2000.0,640.0
571,3,2,270.0,300.0,30.0
572,1,1,20.0,20.0,0.0
573,1,1,290.0,300.0,10.0
574,8,3,541.0,1000.0,459.0
575,2,2,140.0,200.0,60.0
576,1,1,125.0,205.0,80.0
577,3,1,455.0,100.0,545.0
578,2,1,240.0,250.0,10.0
579,1,1,125.0,200.0,75.0
580,11,2,1287.0,1300.0,13.0
581,4,2,320.0,500.0,180.0
582,1,1,5.0,5.0,0.0
583,1,1,100.0,100.0,0.0
584,1,1,10.0,10.0,0.0
585,3,2,408.0,408.0,0.0
586,1,1,120.0,120.0,0.0
587,3,1,348.0,1000.0,652.0
588,4,1,379.0,1000.0,621.0
589,2,1,115.0,120.0,5.0
590,3,2,209.0,220.0,11.0
591,3,1,135.0,135.0,0.0
592,1,1,120.0,150.0,30.0
593,1,1,25.0,25.0,0.0
594,1,1,65.0,200.0,135.0
595,3,2,1233.0,1500.0,267.0
596,5,3,263.0,400.0,137.0
597,1,1,40.0,40.0,0.0
598,1,1,40.0,40.0,0.0
599,2,1,200.0,500.0,300.0
600,1,1,295.0,500.0,205.0
601,1,1,155.0,1000.0,845.0
602,1,1,90.0,100.0,10.0
603,1,1,90.0,100.0,10.0
604,1,1,65.0,100.0,35.0
605,4,2,380.0,500.0,120.0
606,1,1,45.0,100.0,55.0
607,2,2,375.0,400.0,25.0
608,3,2,125.0,500.0,375.0
609,2,2,86.0,100.0,14.0
610,1,1,360.0,400.0,40.0
611,4,2,417.0,1000.0,583.0
612,5,2,399.0,399.0,0.0
613,4,3,687.0,700.0,13.0
614,5,1,753.0,1000.0,247.0
615,11,2,1990.0,2000.0,10.0
616,2,1,110.0,120.0,10.0
617,1,1,230.0,500.0,270.0
618,4,3,211.0,500.0,289.0
619,1,1,40.0,50.0,10.0
620,1,1,50.0,100.0,50.0
621,2,1,90.0,100.0,10.0
622,1,1,158.0,200.0,42.0
623,2,2,100.0,1000.0,900.0
624,4,3,405.0,1000.0,595.0
625,1,1,60.0,100.0,40.0
626,2,2,160.0,200.0,40.0
627,1,1,60.0,100.0,40.0
628,3,1,124.0,500.0,376.0
629,1,1,100.0,500.0,400.0
630,5,1,468.0,500.0,32.0
